gender,grade,provin,school,worklocation,NCEE_science,NCEE_art,gpa,wageb,wagea,lnbwage,lnawage,nonac,gradchoice,major,hheconstat,Pedu,Poccu,emptype,sector
1,2009,50,15,31,,,3.058,12037.491,11000,9.3957815,9.3056507,1,1,2,1,3,2,2,2
1,2009,14,15,14,,,3.554,6565.9043,6000,8.7896452,8.6995144,0,1,2,0,1,0,2,2
0,2009,50,15,50,,,3.586,3282.9521,8000,8.0964985,8.9871969,0,0,2,1,1,0,1,1
0,2009,46,15,46,,,3.401,6565.9043,10000,8.7896452,9.2103405,0,0,2,0,2,3,2,2
1,2009,50,15,50,,,2.439,5471.5869,10000,8.6073236,9.2103405,0,0,2,1,2,1,2,2
1,2009,50,15,44,,,3.761,3830.1108,13000,8.2506495,9.4727049,1,1,2,0,2,3,3,2
1,2009,44,15,44,,,2.338,5252.7236,20000,8.5665016,9.9034872,0,0,2,0,2,4,3,2
1,2009,11,15,11,,,2.591,8754.5391,25000,9.0773277,10.126631,0,0,2,1,3,2,2,2
0,2009,33,15,11,,,3.57,10943.174,25000,9.3004713,10.126631,1,0,2,1,3,1,3,2
1,2009,51,12,51,,,2.805,5471.5869,8000,8.6073236,8.9871969,1,0,5,0,2,2,2,2
0,2009,43,12,44,,,3.46,5471.5869,8000,8.6073236,8.9871969,0,1,5,0,2,0,2,1
0,2009,50,12,50,,,3.57,3282.9521,10000,8.0964985,9.2103405,0,0,5,0,1,3,3,1
0,2009,13,12,13,,,3.277,4377.2695,4000,8.3841801,8.2940493,1,0,5,1,3,2,1,1
0,2009,50,12,50,,,3.528,5471.5869,7000,8.6073236,8.8536654,1,1,5,1,3,2,2,2
1,2009,46,12,46,,,3.042,4377.2695,20000,8.3841801,9.9034872,0,0,5,1,3,0,3,1
0,2009,50,12,51,,,2.321,2735.7935,7000,7.9141769,8.8536654,0,0,5,1,1,4,1,1
0,2009,22,12,11,,,2.947,6018.7456,10000,8.7026339,9.2103405,0,0,5,0,1,3,3,1
0,2009,62,12,51,,,2.645,5471.5869,15000,8.6073236,9.6158056,0,2,5,1,3,1,3,1
0,2009,52,12,65,,,2.922,8377,7655,9.0332451,8.9431143,0,0,5,1,3,2,2,1
0,2009,43,12,44,,,3.377,3830.1108,10000,8.2506495,9.2103405,1,0,5,0,1,4,1,1
1,2009,51,12,51,,,2.597,3611.2476,3500,8.1918087,8.1605186,0,2,5,0,3,1,1,1
1,2009,46,12,46,,,2.478,10943.174,20000,9.3004713,9.9034872,0,2,5,1,3,2,2,2
0,2009,65,12,51,,,3.253,3282.9521,7000,8.0964985,8.8536654,1,0,5,1,2,2,3,1
0,2009,37,12,11,,,2.729,8754.5391,10000,9.0773277,9.2103405,0,0,5,1,3,2,1,1
0,2009,37,16,37,,,3.679,4924.4282,4500,8.5019636,8.4118328,0,0,2,1,3,2,1,1
1,2009,12,12,12,,,2.735,3282.9521,7000,8.0964985,8.8536654,0,0,5,0,1,3,2,1
0,2009,33,12,,,,3.789,4377.2695,10000,8.3841801,9.2103405,1,0,5,0,2,0,3,1
0,2009,35,12,35,,,3.163,3282.9521,4000,8.0964985,8.2940493,1,1,5,1,3,1,1,1
1,2009,65,13,31,,,3.147,12037.491,26000,9.3957815,10.165852,0,1,4,0,1,4,3,1
1,2009,51,13,51,,,3.066,10943.174,20000,9.3004713,9.9034872,0,0,4,0,3,2,2,2
1,2009,37,13,11,,,3.575,4377.2695,13000,8.3841801,9.4727049,1,1,4,0,2,3,2,2
0,2009,50,13,50,,,3.186,4377.2695,7000,8.3841801,8.8536654,1,0,4,0,3,1,1,1
0,2009,44,13,44,,,3.431,5690.4507,8500,8.6465445,9.047821,0,0,4,0,2,0,3,1
0,2009,51,13,51,,,3.845,9848.8564,12000,9.1951103,9.392662,1,1,4,0,1,4,3,2
0,2009,65,13,44,,,2.665,3830.1108,13000,8.2506495,9.4727049,1,2,4,1,3,1,1,1
0,2009,13,13,13,,,3.619,5471.5869,8000,8.6073236,8.9871969,1,1,4,1,3,2,1,1
0,2009,51,13,33,,,2.899,6565.9043,12000,8.7896452,9.392662,1,0,4,1,3,2,3,1
1,2009,51,13,44,,,3.079,19697.713,40000,9.888258,10.596635,0,0,4,0,1,0,3,2
0,2009,41,13,11,,,3.451,6565.9043,16000,8.7896452,9.6803436,0,0,4,0,3,2,3,1
1,2009,50,9,50,,,2.99,10943.174,12000,9.3004713,9.392662,0,0,4,0,1,4,2,2
1,2009,51,9,51,,,3.216,8754.5391,10000,9.0773277,9.2103405,0,0,4,1,1,4,2,2
1,2009,62,2,51,,,3.173,4924.4282,6000,8.5019636,8.6995144,1,0,3,0,1,3,1,1
0,2009,61,9,61,,,3.595,6565.9043,6000,8.7896452,8.6995144,0,1,3,0,3,4,1,1
1,2009,46,9,32,,,2.773,7113.063,10000,8.869688,9.2103405,0,1,3,1,3,2,3,1
1,2009,23,9,31,,,2.744,4377.2695,25000,8.3841801,10.126631,0,0,3,0,3,2,3,2
1,2009,37,6,11,,,3.369,5471.5869,15000,8.6073236,9.6158056,0,1,3,1,2,1,2,2
0,2009,50,16,31,,,3.81,9848.8564,20000,9.1951103,9.9034872,1,1,2,0,3,4,2,2
1,2009,51,9,44,,,3.557,17509.078,24000,9.7704744,10.085809,0,1,3,1,3,2,3,1
0,2009,51,9,31,,,3.297,7113.063,12000,8.869688,9.392662,1,1,3,0,3,1,3,2
0,2009,51,9,51,,,3.516,5471.5869,5000,8.6073236,8.5171928,1,0,3,0,2,3,3,1
1,2009,50,6,50,,,2.747,4267.8379,8000,8.3588629,8.9871969,1,0,3,1,2,1,1,1
1,2009,34,6,51,,,3.229,6565.9043,10000,8.7896452,9.2103405,1,0,3,1,3,2,3,2
0,2009,43,6,44,,,3.765,8207.3809,12000,9.0127888,9.392662,1,1,3,1,3,0,2,1
0,2009,51,6,51,,,3.429,5471.5869,5500,8.6073236,8.6125031,0,0,3,1,3,1,2,2
0,2009,41,6,33,,,3.112,3282.9521,5000,8.0964985,8.5171928,0,0,3,0,1,3,1,1
1,2009,50,6,50,,,3.024,10943.174,20000,9.3004713,9.9034872,1,0,3,1,1,4,2,2
0,2009,63,6,31,,,3.299,3282.9521,10000,8.0964985,9.2103405,1,0,3,0,2,1,3,1
0,2009,36,6,44,,,3.578,4377.2695,10000,8.3841801,9.2103405,0,0,3,0,2,4,1,1
0,2009,51,6,51,,,3.687,6565.9043,7000,8.7896452,8.8536654,0,0,3,0,2,3,1,1
0,2009,61,6,51,,,2.991,3939.5427,6000,8.27882,8.6995144,1,0,3,1,2,2,3,2
0,2009,42,6,42,,,3.47,5471.5869,6000,8.6073236,8.6995144,0,0,3,0,3,0,1,1
1,2009,50,6,50,,,3.205,10943.174,6500,9.3004713,8.7795572,0,0,3,1,2,4,2,2
1,2009,51,6,51,,,3.419,4377.2695,7200,8.3841801,8.8818359,0,0,3,0,1,3,2,1
0,2009,50,6,50,,,3.634,4377.2695,10000,8.3841801,9.2103405,0,0,3,1,2,0,2,2
0,2009,51,6,51,,,3.558,8207.3809,7500,9.0127888,8.922658,1,1,3,0,1,0,3,2
0,2009,15,6,44,,,3.271,6018.7456,7000,8.7026339,8.8536654,1,0,3,1,2,0,2,2
0,2009,45,6,45,,,3.161,4377.2695,6500,8.3841801,8.7795572,0,0,3,1,1,3,2,2
1,2009,50,6,50,,,2.744,5471.5869,8000,8.6073236,8.9871969,1,0,3,0,2,3,2,2
0,2009,14,6,14,,,3.41,3282.9521,4500,8.0964985,8.4118328,1,0,3,1,2,2,1,1
0,2009,33,6,33,,,2.369,3282.9521,4200,8.0964985,8.3428402,0,0,3,1,1,2,3,1
0,2009,51,6,51,,,3.802,3282.9521,7500,8.0964985,8.922658,0,0,3,0,3,4,3,1
0,2009,51,6,51,,,3.139,4377.2695,8000,8.3841801,8.9871969,0,0,3,0,1,3,2,2
0,2009,51,6,51,,,3.147,8754.5391,15000,9.0773277,9.6158056,0,0,3,1,3,2,3,1
1,2009,13,6,,,,2.892,10943.174,12000,9.3004713,9.392662,1,1,3,1,2,4,1,1
0,2009,12,6,11,,,3.523,5471.5869,10000,8.6073236,9.2103405,0,1,3,1,3,1,3,1
1,2009,32,6,32,,,2.894,10943.174,6000,9.3004713,8.6995144,0,0,3,0,3,1,2,2
1,2009,51,6,51,,,2.974,4377.2695,10000,8.3841801,9.2103405,1,0,3,1,1,4,3,2
1,2009,33,6,33,,,2.612,3282.9521,5850,8.0964985,8.6741972,0,0,3,0,1,4,3,1
0,2009,51,6,11,,,3.443,13131.809,12000,9.4827929,9.392662,0,0,3,0,2,4,3,1
1,2009,22,6,11,,,2.722,4377.2695,20000,8.3841801,9.9034872,1,0,3,1,2,4,3,1
0,2009,41,6,44,,,3.726,4377.2695,20000,8.3841801,9.9034872,1,0,3,0,1,3,3,2
0,2009,37,16,11,,,3.936,7660.2217,10000,8.9437962,9.2103405,0,1,2,1,3,4,3,2
0,2009,63,6,51,,,3.534,9848.8564,16000,9.1951103,9.6803436,0,1,3,0,3,2,3,1
0,2009,51,6,11,,,3.799,9411.1299,17000,9.1496487,9.7409687,1,1,3,1,2,1,3,1
0,2009,52,6,,,,3.174,5471.5869,7000,8.6073236,8.8536654,0,1,3,1,3,1,3,1
0,2009,50,6,,,,3.003,6018.7456,10000,8.7026339,9.2103405,0,0,3,1,2,1,2,2
0,2009,51,16,51,,,3.686,6565.9043,4800,8.7896452,8.4763708,0,0,2,1,1,4,3,1
1,2009,33,6,31,,,2.587,7660.2217,10000,8.9437962,9.2103405,0,1,3,1,3,2,2,1
0,2009,50,6,50,,,3.06,5471.5869,7000,8.6073236,8.8536654,0,0,3,1,3,1,1,1
0,2009,51,6,51,,,3.215,5471.5869,6000,8.6073236,8.6995144,0,0,3,1,1,3,2,2
1,2009,50,2,50,,,3.16,4377.2695,20000,8.3841801,9.9034872,0,0,3,1,3,2,2,2
1,2009,44,2,44,,,3.445,10943.174,25000,9.3004713,10.126631,0,0,3,1,1,0,2,1
1,2009,51,2,51,,,3.149,3282.9521,6000,8.0964985,8.6995144,0,0,3,0,3,2,1,1
0,2009,51,2,51,,,3.688,6565.9043,15000,8.7896452,9.6158056,0,1,3,1,2,0,3,1
0,2009,51,2,51,,,3.591,8754.5391,10000,9.0773277,9.2103405,1,0,3,1,1,3,2,1
0,2009,50,2,50,,,3.452,6565.9043,9000,8.7896452,9.1049795,0,1,3,1,2,1,1,1
0,2009,43,2,51,,,3.28,4377.2695,10000,8.3841801,9.2103405,1,0,3,0,1,4,2,2
1,2009,51,2,51,,,3.181,7660.2217,7000,8.9437962,8.8536654,1,0,3,1,3,0,1,1
1,2009,50,2,44,,,3.356,6565.9043,15000,8.7896452,9.6158056,0,0,3,1,1,1,3,1
1,2009,54,2,51,,,2.47,5471.5869,11000,8.6073236,9.3056507,0,0,3,1,3,0,2,1
0,2009,64,2,50,,,3.636,7660.2217,7000,8.9437962,8.8536654,1,2,3,1,3,2,2,1
1,2009,43,2,43,,,3.219,3830.1108,3200,8.2506495,8.0709057,0,0,3,1,2,1,1,1
0,2009,42,2,53,,,3.59,4924.4282,9200,8.5019636,9.1269588,0,0,3,1,3,1,2,1
1,2009,51,2,51,,,2.994,8754.5391,8000,9.0773277,8.9871969,0,1,3,1,3,2,3,1
0,2009,51,2,51,,,3.758,16414.762,20000,9.7059364,9.9034872,0,0,3,0,3,1,2,2
1,2009,51,2,52,,,3.172,10943.174,23000,9.3004713,10.043249,0,0,3,1,2,3,2,1
1,2009,52,2,32,,,2.768,5471.5869,8000,8.6073236,8.9871969,0,0,3,0,3,2,,1
1,2009,63,2,11,,,3.242,4377.2695,9000,8.3841801,9.1049795,1,0,3,1,3,2,,1
