gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
0,3.7,8754.5391,12000,9.0773277,9.392662,1,3,0,1,3
0,3.802,3282.9521,7500,8.0964985,8.922658,0,3,0,3,4
0,3.41,3282.9521,4500,8.0964985,8.4118328,0,3,1,2,2
0,3.595,6565.9043,6000,8.7896452,8.6995144,1,3,0,3,4
1,3.173,4924.4282,6000,8.5019636,8.6995144,0,3,0,1,3
1,3.166,4291.4126,8500,8.3643713,9.047821,0,3,1,2,2
0,3.185,5364.2656,5000,8.5875149,8.5171928,0,3,1,3,2
0,3.423,2145.7063,5200,7.6712241,8.5564137,0,3,1,1,0
0,3.25,1931.1356,4500,7.5658636,8.4118328,2,3,0,1,0
1,3.35,10728.531,10000,9.2806616,9.2103405,1,3,0,1,3
0,3.6,6437.1187,6000,8.7698364,8.6995144,0,3,0,3,1
1,2.74,5256.9805,10300,8.5673122,9.2398996,0,3,0,3,0
1,2.773,7113.063,10000,8.869688,9.2103405,1,3,1,3,2
0,3.541,7509.9722,45000,8.9239874,10.714417,0,3,1,2,3
0,3.526,4377.2695,5000,8.3841801,8.5171928,0,3,1,2,4
0,3.341,3282.9521,8000,8.0964985,8.9871969,0,3,1,3,1
1,2.366,3282.9521,4500,8.0964985,8.4118328,2,3,0,2,3
0,3.643,14226.126,13000,9.5628357,9.4727049,0,3,0,3,2
0,3.716,6565.9043,8000,8.7896452,8.9871969,1,3,1,3,1
1,3.475,10943.174,8000,9.3004713,8.9871969,2,3,1,2,3
1,3.858,4377.2695,4000,8.3841801,8.2940493,1,3,0,2,4
0,2.908,5471.5869,5000,8.6073236,8.5171928,0,3,0,2,2
0,3.863,7660.2217,20000,8.9437962,9.9034872,1,3,0,2,3
0,3.527,6565.9043,2500,8.7896452,7.8240461,0,3,1,2,2
0,2.369,3282.9521,4200,8.0964985,8.3428402,0,3,1,1,2
1,2.744,4377.2695,25000,8.3841801,10.126631,0,3,0,3,2
1,3.557,17509.078,24000,9.7704744,10.085809,1,3,1,3,2
1,2.744,5471.5869,8000,8.6073236,8.9871969,0,3,0,2,3
0,3.161,4377.2695,6500,8.3841801,8.7795572,0,3,1,1,3
0,3.271,6018.7456,7000,8.7026339,8.8536654,0,3,1,2,0
0,3.558,8207.3809,7500,9.0127888,8.922658,1,3,0,1,0
0,3.634,4377.2695,10000,8.3841801,9.2103405,0,3,1,2,0
1,3.419,4377.2695,7200,8.3841801,8.8818359,0,3,0,1,3
1,3.205,10943.174,6500,9.3004713,8.7795572,0,3,1,2,4
0,3.47,5471.5869,6000,8.6073236,8.6995144,0,3,0,3,0
0,2.991,3939.5427,6000,8.27882,8.6995144,0,3,1,2,2
1,3.369,5471.5869,15000,8.6073236,9.6158056,1,3,1,2,1
0,3.687,6565.9043,7000,8.7896452,8.8536654,0,3,0,2,3
0,3.299,3282.9521,10000,8.0964985,9.2103405,0,3,0,2,1
1,3.024,10943.174,20000,9.3004713,9.9034872,0,3,1,1,4
0,3.112,3282.9521,5000,8.0964985,8.5171928,0,3,0,1,3
0,3.429,5471.5869,5500,8.6073236,8.6125031,0,3,1,3,1
0,3.765,8207.3809,12000,9.0127888,9.392662,1,3,1,3,0
1,3.229,6565.9043,10000,8.7896452,9.2103405,0,3,1,3,2
1,2.747,4267.8379,8000,8.3588629,8.9871969,0,3,1,2,1
0,3.516,5471.5869,5000,8.6073236,8.5171928,0,3,0,2,3
0,3.297,7113.063,12000,8.869688,9.392662,1,3,0,3,1
0,3.578,4377.2695,10000,8.3841801,9.2103405,0,3,0,2,4
0,3.493,5471.5869,8000,8.6073236,8.9871969,0,3,1,3,2
1,3.219,3830.1108,3200,8.2506495,8.0709057,0,3,1,2,1
0,3.378,9848.8564,3300,9.1951103,8.1016779,0,3,1,2,4
0,3.382,3282.9521,6000,8.0964985,8.6995144,0,3,0,1,4
0,3.266,3830.1108,7000,8.2506495,8.8536654,0,3,0,1,3
0,2.737,6565.9043,12000,8.7896452,9.392662,0,3,1,3,1
0,3.223,5471.5869,5000,8.6073236,8.5171928,0,3,0,3,0
0,2.883,10943.174,20000,9.3004713,9.9034872,0,3,0,2,1
0,3.301,1969.7714,7000,7.5856729,8.8536654,0,3,0,3,2
0,3.21,6565.9043,7000,8.7896452,8.8536654,1,3,0,1,3
0,3.516,8754.5391,20000,9.0773277,9.9034872,1,3,1,3,1
0,3.483,6237.6094,5700,8.7383518,8.648221,2,3,1,3,2
1,2.385,8754.5391,10000,9.0773277,9.2103405,2,3,1,1,3
1,2.713,17509.078,20000,9.7704744,9.9034872,1,3,0,3,2
1,2.911,4596.1333,7500,8.432971,8.922658,0,3,0,2,0
1,3.072,3282.9521,18000,8.0964985,9.7981272,0,3,0,3,1
0,3.241,5471.5869,15000,8.6073236,9.6158056,0,3,1,3,2
0,3.483,6565.9043,8000,8.7896452,8.9871969,0,3,1,3,1
0,3.51,5471.5869,15000,8.6073236,9.6158056,0,3,0,3,1
1,3.612,3282.9521,7000,8.0964985,8.8536654,0,3,0,3,1
0,3.221,6565.9043,13000,8.7896452,9.4727049,0,3,0,2,3
1,2.38,4924.4282,4500,8.5019636,8.4118328,0,3,1,3,2
0,3.49,4184.1274,3900,8.3390532,8.2687321,0,3,1,2,0
0,3.465,10943.174,15000,9.3004713,9.6158056,1,3,1,3,1
1,3.714,16414.762,20000,9.7059364,9.9034872,1,3,0,3,2
0,3.896,10943.174,15000,9.3004713,9.6158056,1,3,1,2,2
1,2.842,6565.9043,14000,8.7896452,9.546813,0,3,1,3,4
1,3.306,7660.2217,20000,8.9437962,9.9034872,0,3,1,3,1
0,3.898,6565.9043,10000,8.7896452,9.2103405,1,3,0,1,3
0,3.455,6565.9043,12000,8.7896452,9.392662,1,3,1,3,2
1,2.461,5471.5869,30000,8.6073236,10.308952,0,3,1,2,1
0,3.142,8754.5391,100000,9.0773277,11.512925,1,3,1,2,1
0,3.347,8754.5391,15000,9.0773277,9.6158056,0,3,1,3,2
0,3.367,5252.7236,13000,8.5665016,9.4727049,0,3,1,2,3
0,3.014,3830.1108,22000,8.2506495,9.9987974,0,3,1,3,2
0,3.618,6565.9043,11000,8.7896452,9.3056507,0,3,0,2,3
0,3.833,9848.8564,14000,9.1951103,9.546813,1,3,1,3,1
0,3.211,10943.174,9000,9.3004713,9.1049795,2,3,0,3,1
1,3.08,5471.5869,5000,8.6073236,8.5171928,0,3,1,3,2
0,3.731,7660.2217,7000,8.9437962,8.8536654,1,3,1,2,3
0,4.092,21886.348,20000,9.993618,9.9034872,1,3,1,2,4
1,3.175,4924.4282,9000,8.5019636,9.1049795,0,3,0,2,1
0,3.302,13131.809,15000,9.4827929,9.6158056,0,3,1,3,1
1,2.979,6565.9043,25000,8.7896452,10.126631,0,3,1,3,2
0,2.329,3282.9521,4000,8.0964985,8.2940493,2,3,0,1,0
0,3.941,7660.2217,22000,8.9437962,9.9987974,2,3,1,3,1
0,3.63,3830.1108,6000,8.2506495,8.6995144,0,3,1,3,0
0,3.461,7509.9722,7000,8.9239874,8.8536654,1,3,1,3,2
1,2.94,3830.1108,8000,8.2506495,8.9871969,0,3,0,2,4
0,2.859,10943.174,10000,9.3004713,9.2103405,0,3,1,3,2
0,3.424,3830.1108,6000,8.2506495,8.6995144,0,3,0,2,4
0,3.845,9848.8564,12000,9.1951103,9.392662,1,4,0,1,4
0,3.947,16092.797,30000,9.6861267,10.308952,1,4,1,3,1
0,3.738,8582.8252,8000,9.057518,8.9871969,1,4,0,3,1
0,3.186,4377.2695,7000,8.3841801,8.8536654,0,4,0,3,1
1,3.575,4377.2695,13000,8.3841801,9.4727049,1,4,0,2,3
0,3.433,3282.9521,13000,8.0964985,9.4727049,0,4,1,1,4
0,3.619,5471.5869,8000,8.6073236,8.9871969,1,4,1,3,2
1,2.397,7509.9722,22000,8.9239874,9.9987974,0,4,1,2,2
1,3.147,12037.491,26000,9.3957815,10.165852,1,4,0,1,4
0,3.414,7509.9722,24000,8.9239874,10.085809,1,4,1,3,4
0,3.485,6565.9043,10000,8.7896452,9.2103405,0,4,1,3,2
1,3.704,8207.3809,8800,9.0127888,9.0825071,1,4,0,1,3
0,2.665,3830.1108,13000,8.2506495,9.4727049,2,4,1,3,1
1,2.671,3830.1108,12000,8.2506495,9.392662,0,4,0,2,1
0,2.945,5471.5869,8000,8.6073236,8.9871969,0,4,1,3,2
0,2.875,3447.0999,10000,8.1452885,9.2103405,0,4,0,1,3
1,2.907,6565.9043,9400,8.7896452,9.1484652,0,4,1,3,2
1,3.477,5471.5869,22000,8.6073236,9.9987974,1,4,1,3,1
0,3.693,4377.2695,5000,8.3841801,8.5171928,0,4,0,1,3
1,3.316,5471.5869,7000,8.6073236,8.8536654,1,4,1,3,1
0,3.277,7660.2217,8000,8.9437962,8.9871969,1,4,0,1,3
0,3.194,9441.1074,10800,9.1528282,9.2873011,1,4,0,2,3
0,3.004,3754.9861,3800,8.2308397,8.2427559,0,4,1,3,1
0,3.305,9655.6787,12000,9.1753016,9.392662,0,4,1,1,2
1,3.787,21457.063,22000,9.9738092,9.9987974,1,4,1,3,1
0,3.241,7509.9722,7000,8.9239874,8.8536654,1,4,1,2,1
0,2.956,8582.8252,12000,9.057518,9.392662,0,4,1,3,2
0,2.959,9119.252,6500,9.1181431,8.7795572,0,4,0,2,3
0,2.899,6565.9043,12000,8.7896452,9.392662,0,4,1,3,2
1,3.079,19697.713,40000,9.888258,10.596635,0,4,0,1,0
1,3.066,10943.174,20000,9.3004713,9.9034872,0,4,0,3,2
1,2.99,10943.174,12000,9.3004713,9.392662,0,4,0,1,4
1,3.374,10728.531,10000,9.2806616,9.2103405,1,4,0,1,4
1,2.753,7509.9722,13000,8.9239874,9.4727049,2,4,0,3,1
0,2.984,1609.2797,5000,7.3835421,8.5171928,0,4,0,3,2
0,3.949,13947.091,18000,9.543026,9.7981272,1,4,1,2,4
0,3.382,11264.958,13500,9.3294525,9.5104446,1,4,1,2,0
1,3.276,8582.8252,9200,9.057518,9.1269588,1,4,0,2,0
1,3.19,8582.8252,15000,9.057518,9.6158056,2,4,1,3,2
1,1.931,10728.531,10000,9.2806616,9.2103405,0,4,1,3,2
0,3.451,6565.9043,16000,8.7896452,9.6803436,0,4,0,3,2
0,3.366,3754.9861,20000,8.2308397,9.9034872,0,4,1,3,1
0,3.721,3218.5593,4000,8.0766888,8.2940493,0,4,0,2,4
0,3.153,8046.3984,10000,8.99298,9.2103405,1,4,0,2,2
0,3.431,5690.4507,8500,8.6465445,9.047821,0,4,0,2,0
1,2.278,5364.2656,5000,8.5875149,8.5171928,2,4,1,3,2
1,3.108,6437.1187,6000,8.7698364,8.6995144,1,4,1,3,2
1,3.122,6437.1187,40000,8.7698364,10.596635,1,4,1,3,2
1,2.905,10192.104,9500,9.2293682,9.1590471,2,4,0,2,2
0,3.254,4827.8394,7000,8.4821539,8.8536654,2,4,0,2,0
0,3.239,8582.8252,12000,9.057518,9.392662,0,4,1,3,1
1,3.626,8582.8252,8000,9.057518,8.9871969,1,4,0,1,4
1,3.277,7509.9722,27000,8.9239874,10.203592,0,4,0,3,0
1,3.301,10728.531,10000,9.2806616,9.2103405,0,4,0,3,1
