,gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
129,0,2.899,6565.9043,12000,8.7896452,9.392662,0,0,1,3,2
130,1,3.079,19697.713,40000,9.888258,10.596635,0,0,0,1,0
131,0,3.451,6565.9043,16000,8.7896452,9.6803436,0,0,0,3,2
132,1,2.99,10943.174,12000,9.3004713,9.392662,0,0,0,1,4
133,1,3.216,8754.5391,10000,9.0773277,9.2103405,0,0,1,1,4
134,1,3.173,4924.4282,6000,8.5019636,8.6995144,0,0,0,1,3
135,0,3.595,6565.9043,6000,8.7896452,8.6995144,1,0,0,3,4
136,1,2.773,7113.063,10000,8.869688,9.2103405,1,0,1,3,2
137,1,2.744,4377.2695,25000,8.3841801,10.126631,0,0,0,3,2
138,1,3.369,5471.5869,15000,8.6073236,9.6158056,1,0,1,2,1
139,0,3.81,9848.8564,20000,9.1951103,9.9034872,1,1,0,3,4
140,1,3.557,17509.078,24000,9.7704744,10.085809,1,0,1,3,2
141,0,3.297,7113.063,12000,8.869688,9.392662,1,0,0,3,1
142,0,3.516,5471.5869,5000,8.6073236,8.5171928,0,0,0,2,3
143,1,2.747,4267.8379,8000,8.3588629,8.9871969,0,0,1,2,1
144,1,3.229,6565.9043,10000,8.7896452,9.2103405,0,0,1,3,2
145,0,3.765,8207.3809,12000,9.0127888,9.392662,1,0,1,3,0
146,0,3.429,5471.5869,5500,8.6073236,8.6125031,0,0,1,3,1
147,0,3.112,3282.9521,5000,8.0964985,8.5171928,0,0,0,1,3
148,1,3.024,10943.174,20000,9.3004713,9.9034872,0,0,1,1,4
149,0,3.299,3282.9521,10000,8.0964985,9.2103405,0,0,0,2,1
150,0,3.578,4377.2695,10000,8.3841801,9.2103405,0,0,0,2,4
151,0,3.687,6565.9043,7000,8.7896452,8.8536654,0,0,0,2,3
152,0,2.991,3939.5427,6000,8.27882,8.6995144,0,0,1,2,2
153,0,3.47,5471.5869,6000,8.6073236,8.6995144,0,0,0,3,0
154,1,3.205,10943.174,6500,9.3004713,8.7795572,0,0,1,2,4
155,1,3.419,4377.2695,7200,8.3841801,8.8818359,0,0,0,1,3
156,0,3.634,4377.2695,10000,8.3841801,9.2103405,0,0,1,2,0
157,0,3.558,8207.3809,7500,9.0127888,8.922658,1,0,0,1,0
158,0,3.271,6018.7456,7000,8.7026339,8.8536654,0,0,1,2,0
159,0,3.161,4377.2695,6500,8.3841801,8.7795572,0,0,1,1,3
160,1,2.744,5471.5869,8000,8.6073236,8.9871969,0,0,0,2,3
161,0,3.41,3282.9521,4500,8.0964985,8.4118328,0,0,1,2,2
162,0,2.369,3282.9521,4200,8.0964985,8.3428402,0,0,1,1,2
163,0,3.802,3282.9521,7500,8.0964985,8.922658,0,0,0,3,4
164,0,3.139,4377.2695,8000,8.3841801,8.9871969,0,0,0,1,3
165,0,3.147,8754.5391,15000,9.0773277,9.6158056,0,0,1,3,2
166,1,2.892,10943.174,12000,9.3004713,9.392662,1,0,1,2,4
167,0,3.523,5471.5869,10000,8.6073236,9.2103405,1,0,1,3,1
168,1,2.894,10943.174,6000,9.3004713,8.6995144,0,0,0,3,1
169,1,2.974,4377.2695,10000,8.3841801,9.2103405,0,0,1,1,4
170,1,2.612,3282.9521,5850,8.0964985,8.6741972,0,0,0,1,4
171,0,3.443,13131.809,12000,9.4827929,9.392662,0,0,0,2,4
172,1,2.722,4377.2695,20000,8.3841801,9.9034872,0,0,1,2,4
173,0,3.726,4377.2695,20000,8.3841801,9.9034872,0,0,0,1,3
174,0,3.936,7660.2217,10000,8.9437962,9.2103405,1,1,1,3,4
175,0,3.534,9848.8564,16000,9.1951103,9.6803436,1,0,0,3,2
176,0,3.799,9411.1299,17000,9.1496487,9.7409687,1,0,1,2,1
177,0,3.174,5471.5869,7000,8.6073236,8.8536654,1,0,1,3,1
178,0,3.003,6018.7456,10000,8.7026339,9.2103405,0,0,1,2,1
179,0,3.686,6565.9043,4800,8.7896452,8.4763708,0,1,1,1,4
180,1,2.587,7660.2217,10000,8.9437962,9.2103405,1,0,1,3,2
181,0,3.06,5471.5869,7000,8.6073236,8.8536654,0,0,1,3,1
182,0,3.215,5471.5869,6000,8.6073236,8.6995144,0,0,1,1,3
183,1,3.16,4377.2695,20000,8.3841801,9.9034872,0,0,1,3,2
184,1,3.445,10943.174,25000,9.3004713,10.126631,0,0,1,1,0
185,1,3.149,3282.9521,6000,8.0964985,8.6995144,0,0,0,3,2
186,0,3.688,6565.9043,15000,8.7896452,9.6158056,1,0,1,2,0
187,0,3.591,8754.5391,10000,9.0773277,9.2103405,0,0,1,1,3
188,0,3.452,6565.9043,9000,8.7896452,9.1049795,1,0,1,2,1
189,0,3.28,4377.2695,10000,8.3841801,9.2103405,0,0,0,1,4
190,1,3.181,7660.2217,7000,8.9437962,8.8536654,0,0,1,3,0
191,1,3.356,6565.9043,15000,8.7896452,9.6158056,0,0,1,1,1
192,1,2.47,5471.5869,11000,8.6073236,9.3056507,0,0,1,3,0
193,0,3.636,7660.2217,7000,8.9437962,8.8536654,2,0,1,3,2
194,1,3.219,3830.1108,3200,8.2506495,8.0709057,0,0,1,2,1
195,0,3.59,4924.4282,9200,8.5019636,9.1269588,0,0,1,3,1
196,1,2.994,8754.5391,8000,9.0773277,8.9871969,1,0,1,3,2
197,0,3.758,16414.762,20000,9.7059364,9.9034872,0,0,0,3,1
198,1,3.172,10943.174,23000,9.3004713,10.043249,0,0,1,2,3
199,1,2.768,5471.5869,8000,8.6073236,8.9871969,0,0,0,3,2
200,1,3.242,4377.2695,9000,8.3841801,9.1049795,0,0,1,3,2
201,0,3.522,9848.8564,9000,9.1951103,9.1049795,1,0,0,3,2
202,0,3.64,8754.5391,12000,9.0773277,9.392662,0,0,0,1,3
203,1,3.225,8754.5391,9000,9.0773277,9.1049795,0,0,0,1,3
204,0,3.822,6565.9043,24000,8.7896452,10.085809,0,0,0,2,3
205,0,3.327,5471.5869,10000,8.6073236,9.2103405,0,0,0,3,1
206,1,3.419,5471.5869,10000,8.6073236,9.2103405,1,0,0,3,1
207,0,3.709,7113.063,24000,8.869688,10.085809,0,0,1,3,2
208,0,3.317,3064.0889,6500,8.0275059,8.7795572,0,0,0,1,3
209,0,3.374,4924.4282,12000,8.5019636,9.392662,0,0,1,3,1
210,1,3.294,10943.174,20000,9.3004713,9.9034872,0,0,0,2,0
211,0,3.7,8754.5391,12000,9.0773277,9.392662,1,0,0,1,3
212,0,3.493,5471.5869,8000,8.6073236,8.9871969,0,0,1,3,2
213,0,3.378,9848.8564,3300,9.1951103,8.1016779,0,0,1,2,4
214,0,3.302,13131.809,15000,9.4827929,9.6158056,0,0,1,3,1
215,1,2.979,6565.9043,25000,8.7896452,10.126631,0,0,1,3,2
216,0,2.329,3282.9521,4000,8.0964985,8.2940493,2,0,0,1,0
217,0,3.941,7660.2217,22000,8.9437962,9.9987974,2,0,1,3,1
218,0,3.63,3830.1108,6000,8.2506495,8.6995144,0,0,1,3,0
219,1,2.94,3830.1108,8000,8.2506495,8.9871969,0,0,0,2,4
220,0,3.424,3830.1108,6000,8.2506495,8.6995144,0,0,0,2,4
221,0,2.859,10943.174,10000,9.3004713,9.2103405,0,0,1,3,2
222,1,3.175,4924.4282,9000,8.5019636,9.1049795,0,0,0,2,1
223,0,3.731,7660.2217,7000,8.9437962,8.8536654,1,0,1,2,3
224,0,3.455,6565.9043,12000,8.7896452,9.392662,1,0,1,3,2
225,0,3.483,6565.9043,8000,8.7896452,8.9871969,0,0,1,3,1
226,0,3.241,5471.5869,15000,8.6073236,9.6158056,0,0,1,3,2
227,0,3.66,8754.5391,15000,9.0773277,9.6158056,0,1,1,3,1
228,1,3.072,3282.9521,18000,8.0964985,9.7981272,0,0,0,3,1
229,1,2.911,4596.1333,7500,8.432971,8.922658,0,0,0,2,0
